Date,Symbol,Close_Price,Volume,50_DMA,RSI
2024-05-14,ADANIENT.NS,3034.86,5725807,3106.08,48.2
2024-05-14,ADANIPORTS.NS,1319.14,2989543,1302.61,52.01
2024-05-14,ASIANPAINT.NS,2803.54,999330,2792.31,49.29
2024-05-14,AXISBANK.NS,1121.03,5471143,1082.61,67.46
2024-05-14,BAJFINANCE.NS,660.16,7558400,676.83,29.96
2024-05-14,BHARTIARTL.NS,1266.59,3262908,1218.73,30.57
2024-05-14,COALINDIA.NS,394.5,6592194,390.8,53.74
2024-05-14,HDFCBANK.NS,720.73,25665142,719.59,42.22
2024-05-14,HINDUNILVR.NS,2258.47,689430,2207.65,63.27
2024-05-14,INFY.NS,1341.33,3463230,1421.24,42.75
2024-05-14,ITC.NS,384.67,11423749,379.85,50.44
2024-05-14,KOTAKBANK.NS,328.52,21410130,344.44,34.27
2024-05-14,LT.NS,3322.11,2870328,3534.0,33.93
2024-05-14,M&M.NS,2235.44,3830189,1981.17,72.47
2024-05-14,NTPC.NS,339.19,10891985,330.14,55.22
2024-05-14,RELIANCE.NS,1409.64,7188300,1446.66,39.29
2024-05-14,SBIN.NS,788.87,10912462,744.82,65.11
2024-05-14,SUNPHARMA.NS,1516.26,2206236,1529.6,63.51
2024-05-14,TCS.NS,3658.59,1058317,3723.25,52.29
2024-05-14,TITAN.NS,3268.34,620163,3587.1,19.84
2024-05-14,ULTRACEMCO.NS,9543.21,171935,9594.07,55.29
2024-05-15,ADANIENT.NS,3047.05,1688836,3101.03,50.41
2024-05-15,ADANIPORTS.NS,1325.68,2189768,1302.78,53.73
2024-05-15,ASIANPAINT.NS,2752.24,1230520,2791.42,45.9
2024-05-15,AXISBANK.NS,1126.22,5436338,1083.58,67.07
2024-05-15,BAJFINANCE.NS,660.59,5950590,677.08,26.69
2024-05-15,BHARTIARTL.NS,1291.84,6891004,1222.33,42.16
2024-05-15,COALINDIA.NS,411.34,23543942,391.27,60.02
2024-05-15,HDFCBANK.NS,709.66,38931996,719.96,35.92
2024-05-15,HINDUNILVR.NS,2233.19,812282,2206.07,58.98
